,model,animal,accuracy
144,top_model_weights_no_3d,elephant,0.75
145,top_model_weights_no_3d,elephant,0.79
146,top_model_weights_no_3d,elephant,0.825
147,top_model_weights_no_3d,elephant,0.755
148,top_model_weights_no_3d,elephant,0.815
149,top_model_weights_no_3d,elephant,0.785
150,top_model_weights_no_3d,elephant,0.81
151,top_model_weights_no_3d,elephant,0.83
152,top_model_weights_no_3d,elephant,0.825
153,top_model_weights_no_3d,elephant,0.77
154,top_model_weights_no_3d,elephant,0.785
155,top_model_weights_no_3d,elephant,0.8
156,top_model_weights_no_3d,elephant,0.82
157,top_model_weights_no_3d,elephant,0.82
158,top_model_weights_no_3d,elephant,0.835
159,top_model_weights_no_3d,elephant,0.845
160,top_model_weights_no_3d,elephant,0.77
161,top_model_weights_no_3d,elephant,0.83
162,top_model_weights_no_3d,elephant,0.785
163,top_model_weights_no_3d,elephant,0.795
164,top_model_weights_no_3d,elephant,0.79
165,top_model_weights_no_3d,elephant,0.845
166,top_model_weights_no_3d,elephant,0.82
167,top_model_weights_no_3d,elephant,0.815
168,top_model_weights_no_3d,elephant,0.81
169,top_model_weights_no_3d,elephant,0.835
170,top_model_weights_no_3d,elephant,0.86
171,top_model_weights_no_3d,elephant,0.755
172,top_model_weights_no_3d,elephant,0.785
173,top_model_weights_no_3d,elephant,0.845
174,top_model_weights_no_3d,elephant,0.82
175,top_model_weights_no_3d,elephant,0.835
176,top_model_weights_no_3d,elephant,0.8
177,top_model_weights_no_3d,elephant,0.82
178,top_model_weights_no_3d,elephant,0.76
179,top_model_weights_no_3d,elephant,0.8
180,top_model_weights_no_3d,elephant,0.8
181,top_model_weights_no_3d,elephant,0.825
182,top_model_weights_no_3d,elephant,0.78
183,top_model_weights_no_3d,elephant,0.77
184,top_model_weights_no_3d,elephant,0.78
185,top_model_weights_no_3d,elephant,0.785
186,top_model_weights_no_3d,elephant,0.8
187,top_model_weights_no_3d,elephant,0.82
188,top_model_weights_no_3d,elephant,0.795
189,top_model_weights_no_3d,elephant,0.765
190,top_model_weights_no_3d,elephant,0.785
191,top_model_weights_no_3d,elephant,0.815
192,top_model_weights_no_3d,elephant,0.835
193,top_model_weights_no_3d,elephant,0.825
194,top_model_weights_no_3d,elephant,0.84
195,top_model_weights_no_3d,elephant,0.74
196,top_model_weights_no_3d,elephant,0.795
197,top_model_weights_no_3d,elephant,0.805
198,top_model_weights_no_3d,elephant,0.8
199,top_model_weights_no_3d,elephant,0.8
200,top_model_weights_no_3d,elephant,0.83
201,top_model_weights_no_3d,elephant,0.75
202,top_model_weights_no_3d,elephant,0.825
203,top_model_weights_no_3d,elephant,0.78
204,top_model_weights_no_3d,elephant,0.765
205,top_model_weights_no_3d,elephant,0.865
206,top_model_weights_no_3d,elephant,0.765
207,top_model_weights_no_3d,elephant,0.785
208,top_model_weights_no_3d,elephant,0.82
209,top_model_weights_no_3d,elephant,0.78
210,top_model_weights_no_3d,elephant,0.77
211,top_model_weights_no_3d,elephant,0.82
212,top_model_weights_no_3d,elephant,0.78
213,top_model_weights_no_3d,elephant,0.82
214,top_model_weights_no_3d,elephant,0.81
215,top_model_weights_no_3d,elephant,0.79
216,top_model_weights_no_3d,elephant,0.81
217,top_model_weights_no_3d,elephant,0.765
218,top_model_weights_no_3d,elephant,0.82
219,top_model_weights_no_3d,elephant,0.795
220,top_model_weights_no_3d,elephant,0.805
221,top_model_weights_no_3d,elephant,0.795
222,top_model_weights_no_3d,elephant,0.77
223,top_model_weights_no_3d,elephant,0.855
224,top_model_weights_no_3d,elephant,0.78
225,top_model_weights_no_3d,elephant,0.79
226,top_model_weights_no_3d,elephant,0.82
227,top_model_weights_no_3d,elephant,0.76
228,top_model_weights_no_3d,elephant,0.79
229,top_model_weights_no_3d,elephant,0.76
230,top_model_weights_no_3d,elephant,0.8
231,top_model_weights_no_3d,elephant,0.835
232,top_model_weights_no_3d,elephant,0.81
233,top_model_weights_no_3d,elephant,0.795
234,top_model_weights_no_3d,elephant,0.755
235,top_model_weights_no_3d,elephant,0.79
236,top_model_weights_no_3d,elephant,0.82
237,top_model_weights_no_3d,elephant,0.805
238,top_model_weights_no_3d,elephant,0.83
239,top_model_weights_no_3d,elephant,0.825
240,top_model_weights_no_3d,elephant,0.79
241,top_model_weights_no_3d,elephant,0.86
242,top_model_weights_no_3d,elephant,0.785
243,top_model_weights_no_3d,elephant,0.84
244,top_model_weights_no_3d,elephant,0.805
245,top_model_weights_no_3d,elephant,0.745
246,top_model_weights_no_3d,elephant,0.79
247,top_model_weights_no_3d,elephant,0.79
248,top_model_weights_no_3d,elephant,0.795
249,top_model_weights_no_3d,elephant,0.795
250,top_model_weights_no_3d,elephant,0.75
251,top_model_weights_no_3d,elephant,0.795
252,top_model_weights_no_3d,elephant,0.8
253,top_model_weights_no_3d,elephant,0.795
254,top_model_weights_no_3d,elephant,0.82
255,top_model_weights_no_3d,elephant,0.82
256,top_model_weights_no_3d,elephant,0.77
257,top_model_weights_no_3d,elephant,0.815
258,top_model_weights_no_3d,elephant,0.815
259,top_model_weights_no_3d,elephant,0.805
260,top_model_weights_no_3d,elephant,0.805
261,top_model_weights_no_3d,elephant,0.795
262,top_model_weights_no_3d,elephant,0.81
263,top_model_weights_no_3d,elephant,0.825
264,top_model_weights_no_3d,elephant,0.815
265,top_model_weights_no_3d,elephant,0.73
266,top_model_weights_no_3d,elephant,0.85
267,top_model_weights_no_3d,elephant,0.785
268,top_model_weights_no_3d,elephant,0.82
269,top_model_weights_no_3d,elephant,0.815
270,top_model_weights_no_3d,elephant,0.8
271,top_model_weights_no_3d,elephant,0.805
272,top_model_weights_no_3d,elephant,0.78
273,top_model_weights_no_3d,elephant,0.79
274,top_model_weights_no_3d,elephant,0.825
275,top_model_weights_no_3d,elephant,0.76
276,top_model_weights_no_3d,elephant,0.825
277,top_model_weights_no_3d,elephant,0.81
278,top_model_weights_no_3d,elephant,0.79
279,top_model_weights_no_3d,elephant,0.795
280,top_model_weights_no_3d,elephant,0.845
281,top_model_weights_no_3d,elephant,0.815
282,top_model_weights_no_3d,elephant,0.815
283,top_model_weights_no_3d,elephant,0.835
284,top_model_weights_no_3d,elephant,0.765
285,top_model_weights_no_3d,elephant,0.815
286,top_model_weights_no_3d,elephant,0.755
287,top_model_weights_no_3d,elephant,0.835
288,top_model_weights_no_3d,elephant,0.815
289,top_model_weights_no_3d,elephant,0.775
290,top_model_weights_no_3d,elephant,0.795
291,top_model_weights_no_3d,elephant,0.785
292,top_model_weights_no_3d,elephant,0.78
293,top_model_weights_no_3d,elephant,0.855
294,top_model_weights_no_3d,elephant,0.82
295,top_model_weights_no_3d,elephant,0.785
296,top_model_weights_no_3d,elephant,0.805
297,top_model_weights_no_3d,elephant,0.705
298,top_model_weights_no_3d,elephant,0.77
299,top_model_weights_no_3d,elephant,0.8
300,top_model_weights_no_3d,elephant,0.81
301,top_model_weights_no_3d,elephant,0.805
302,top_model_weights_no_3d,elephant,0.805
303,top_model_weights_no_3d,elephant,0.79
304,top_model_weights_no_3d,elephant,0.8
305,top_model_weights_no_3d,elephant,0.805
306,top_model_weights_no_3d,elephant,0.795
307,top_model_weights_no_3d,elephant,0.765
308,top_model_weights_no_3d,elephant,0.79
309,top_model_weights_no_3d,elephant,0.805
310,top_model_weights_no_3d,elephant,0.845
311,top_model_weights_no_3d,elephant,0.81
312,top_model_weights_no_3d,elephant,0.785
313,top_model_weights_no_3d,elephant,0.79
314,top_model_weights_no_3d,elephant,0.805
315,top_model_weights_no_3d,elephant,0.83
316,top_model_weights_no_3d,elephant,0.85
317,top_model_weights_no_3d,elephant,0.795
318,top_model_weights_no_3d,elephant,0.775
319,top_model_weights_no_3d,elephant,0.82
320,top_model_weights_no_3d,elephant,0.77
321,top_model_weights_no_3d,elephant,0.79
322,top_model_weights_no_3d,elephant,0.77
323,top_model_weights_no_3d,elephant,0.825
324,top_model_weights_no_3d,elephant,0.8
325,top_model_weights_no_3d,elephant,0.855
326,top_model_weights_no_3d,elephant,0.745
327,top_model_weights_no_3d,elephant,0.74
328,top_model_weights_no_3d,elephant,0.805
329,top_model_weights_no_3d,elephant,0.83
330,top_model_weights_no_3d,elephant,0.835
331,top_model_weights_no_3d,elephant,0.76
332,top_model_weights_no_3d,elephant,0.765
333,top_model_weights_no_3d,elephant,0.795
334,top_model_weights_no_3d,elephant,0.8
335,top_model_weights_no_3d,elephant,0.83
336,top_model_weights_no_3d,elephant,0.82
337,top_model_weights_no_3d,elephant,0.82
338,top_model_weights_no_3d,elephant,0.825
339,top_model_weights_no_3d,elephant,0.755
340,top_model_weights_no_3d,elephant,0.84
341,top_model_weights_no_3d,elephant,0.825
342,top_model_weights_no_3d,elephant,0.78
343,top_model_weights_no_3d,elephant,0.85
344,top_model_weights_no_3d,elephant,0.84
345,top_model_weights_no_3d,elephant,0.875
346,top_model_weights_no_3d,elephant,0.815
347,top_model_weights_no_3d,elephant,0.755
348,top_model_weights_no_3d,elephant,0.815
349,top_model_weights_no_3d,elephant,0.775
350,top_model_weights_no_3d,elephant,0.785
351,top_model_weights_no_3d,elephant,0.84
352,top_model_weights_no_3d,elephant,0.805
353,top_model_weights_no_3d,elephant,0.865
354,top_model_weights_no_3d,elephant,0.83
355,top_model_weights_no_3d,elephant,0.8
356,top_model_weights_no_3d,elephant,0.735
357,top_model_weights_no_3d,elephant,0.805
358,top_model_weights_no_3d,elephant,0.82
359,top_model_weights_no_3d,elephant,0.84
360,top_model_weights_no_3d,elephant,0.86
361,top_model_weights_no_3d,elephant,0.84
362,top_model_weights_no_3d,elephant,0.76
363,top_model_weights_no_3d,elephant,0.83
364,top_model_weights_no_3d,elephant,0.83
365,top_model_weights_no_3d,elephant,0.82
366,top_model_weights_no_3d,elephant,0.77
367,top_model_weights_no_3d,elephant,0.81
368,top_model_weights_no_3d,elephant,0.825
369,top_model_weights_no_3d,elephant,0.78
370,top_model_weights_no_3d,elephant,0.795
371,top_model_weights_no_3d,elephant,0.845
372,top_model_weights_no_3d,elephant,0.81
373,top_model_weights_no_3d,elephant,0.815
374,top_model_weights_no_3d,elephant,0.81
375,top_model_weights_no_3d,elephant,0.795
376,top_model_weights_no_3d,elephant,0.785
377,top_model_weights_no_3d,elephant,0.82
378,top_model_weights_no_3d,elephant,0.85
379,top_model_weights_no_3d,elephant,0.815
380,top_model_weights_no_3d,elephant,0.81
381,top_model_weights_no_3d,elephant,0.8
382,top_model_weights_no_3d,elephant,0.78
383,top_model_weights_no_3d,elephant,0.805
384,top_model_weights_no_3d,elephant,0.81
385,top_model_weights_no_3d,elephant,0.825
386,top_model_weights_no_3d,elephant,0.81
387,top_model_weights_no_3d,elephant,0.835
388,top_model_weights_no_3d,elephant,0.82
389,top_model_weights_no_3d,elephant,0.79
390,top_model_weights_no_3d,elephant,0.79
391,top_model_weights_no_3d,elephant,0.805
392,top_model_weights_no_3d,elephant,0.785
393,top_model_weights_no_3d,elephant,0.805
394,top_model_weights_no_3d,elephant,0.805
395,top_model_weights_no_3d,elephant,0.825
396,top_model_weights_no_3d,elephant,0.83
397,top_model_weights_no_3d,elephant,0.815
398,top_model_weights_no_3d,elephant,0.78
399,top_model_weights_no_3d,elephant,0.795
400,top_model_weights_no_3d,elephant,0.77
401,top_model_weights_no_3d,elephant,0.8
402,top_model_weights_no_3d,elephant,0.785
403,top_model_weights_no_3d,elephant,0.795
404,top_model_weights_no_3d,elephant,0.765
405,top_model_weights_no_3d,elephant,0.8
406,top_model_weights_no_3d,elephant,0.835
407,top_model_weights_no_3d,elephant,0.82
408,top_model_weights_no_3d,elephant,0.77
409,top_model_weights_no_3d,elephant,0.775
410,top_model_weights_no_3d,elephant,0.805
