,model,animal,accuracy
144,top_model_weights_no_3d,sheep,0.695
145,top_model_weights_no_3d,sheep,0.675
146,top_model_weights_no_3d,sheep,0.68
147,top_model_weights_no_3d,sheep,0.745
148,top_model_weights_no_3d,sheep,0.69
149,top_model_weights_no_3d,sheep,0.74
150,top_model_weights_no_3d,sheep,0.715
151,top_model_weights_no_3d,sheep,0.685
152,top_model_weights_no_3d,sheep,0.68
153,top_model_weights_no_3d,sheep,0.72
154,top_model_weights_no_3d,sheep,0.69
155,top_model_weights_no_3d,sheep,0.69
156,top_model_weights_no_3d,sheep,0.705
157,top_model_weights_no_3d,sheep,0.68
158,top_model_weights_no_3d,sheep,0.635
159,top_model_weights_no_3d,sheep,0.7
160,top_model_weights_no_3d,sheep,0.685
161,top_model_weights_no_3d,sheep,0.73
162,top_model_weights_no_3d,sheep,0.715
163,top_model_weights_no_3d,sheep,0.635
164,top_model_weights_no_3d,sheep,0.765
165,top_model_weights_no_3d,sheep,0.705
166,top_model_weights_no_3d,sheep,0.695
167,top_model_weights_no_3d,sheep,0.665
168,top_model_weights_no_3d,sheep,0.685
169,top_model_weights_no_3d,sheep,0.72
170,top_model_weights_no_3d,sheep,0.705
171,top_model_weights_no_3d,sheep,0.7
172,top_model_weights_no_3d,sheep,0.71
173,top_model_weights_no_3d,sheep,0.655
174,top_model_weights_no_3d,sheep,0.68
175,top_model_weights_no_3d,sheep,0.7
176,top_model_weights_no_3d,sheep,0.62
177,top_model_weights_no_3d,sheep,0.655
178,top_model_weights_no_3d,sheep,0.67
179,top_model_weights_no_3d,sheep,0.675
180,top_model_weights_no_3d,sheep,0.715
181,top_model_weights_no_3d,sheep,0.625
182,top_model_weights_no_3d,sheep,0.63
183,top_model_weights_no_3d,sheep,0.66
184,top_model_weights_no_3d,sheep,0.7
185,top_model_weights_no_3d,sheep,0.625
186,top_model_weights_no_3d,sheep,0.695
187,top_model_weights_no_3d,sheep,0.715
188,top_model_weights_no_3d,sheep,0.71
189,top_model_weights_no_3d,sheep,0.61
190,top_model_weights_no_3d,sheep,0.68
191,top_model_weights_no_3d,sheep,0.67
192,top_model_weights_no_3d,sheep,0.69
193,top_model_weights_no_3d,sheep,0.645
194,top_model_weights_no_3d,sheep,0.695
195,top_model_weights_no_3d,sheep,0.72
196,top_model_weights_no_3d,sheep,0.695
197,top_model_weights_no_3d,sheep,0.715
198,top_model_weights_no_3d,sheep,0.72
199,top_model_weights_no_3d,sheep,0.655
200,top_model_weights_no_3d,sheep,0.625
201,top_model_weights_no_3d,sheep,0.695
