,model,animal,accuracy
151,top_model_weights_no_3d,dog,0.89
152,top_model_weights_no_3d,dog,0.885
153,top_model_weights_no_3d,dog,0.86
154,top_model_weights_no_3d,dog,0.86
155,top_model_weights_no_3d,dog,0.87
156,top_model_weights_no_3d,dog,0.84
157,top_model_weights_no_3d,dog,0.875
158,top_model_weights_no_3d,dog,0.855
159,top_model_weights_no_3d,dog,0.865
160,top_model_weights_no_3d,dog,0.86
161,top_model_weights_no_3d,dog,0.85
162,top_model_weights_no_3d,dog,0.865
163,top_model_weights_no_3d,dog,0.89
164,top_model_weights_no_3d,dog,0.845
165,top_model_weights_no_3d,dog,0.855
166,top_model_weights_no_3d,dog,0.875
167,top_model_weights_no_3d,dog,0.87
168,top_model_weights_no_3d,dog,0.875
169,top_model_weights_no_3d,dog,0.885
170,top_model_weights_no_3d,dog,0.89
171,top_model_weights_no_3d,dog,0.86
172,top_model_weights_no_3d,dog,0.925
173,top_model_weights_no_3d,dog,0.88
174,top_model_weights_no_3d,dog,0.86
175,top_model_weights_no_3d,dog,0.86
176,top_model_weights_no_3d,dog,0.885
177,top_model_weights_no_3d,dog,0.855
178,top_model_weights_no_3d,dog,0.89
179,top_model_weights_no_3d,dog,0.815
180,top_model_weights_no_3d,dog,0.89
181,top_model_weights_no_3d,dog,0.915
182,top_model_weights_no_3d,dog,0.875
183,top_model_weights_no_3d,dog,0.865
184,top_model_weights_no_3d,dog,0.88
185,top_model_weights_no_3d,dog,0.825
186,top_model_weights_no_3d,dog,0.865
187,top_model_weights_no_3d,dog,0.865
188,top_model_weights_no_3d,dog,0.86
189,top_model_weights_no_3d,dog,0.845
190,top_model_weights_no_3d,dog,0.875
191,top_model_weights_no_3d,dog,0.85
192,top_model_weights_no_3d,dog,0.885
193,top_model_weights_no_3d,dog,0.9
194,top_model_weights_no_3d,dog,0.85
195,top_model_weights_no_3d,dog,0.915
196,top_model_weights_no_3d,dog,0.85
197,top_model_weights_no_3d,dog,0.87
198,top_model_weights_no_3d,dog,0.875
199,top_model_weights_no_3d,dog,0.845
200,top_model_weights_no_3d,dog,0.865
201,top_model_weights_no_3d,dog,0.875
202,top_model_weights_no_3d,dog,0.84
203,top_model_weights_no_3d,dog,0.83
204,top_model_weights_no_3d,dog,0.87
205,top_model_weights_no_3d,dog,0.89
206,top_model_weights_no_3d,dog,0.87
207,top_model_weights_no_3d,dog,0.855
208,top_model_weights_no_3d,dog,0.85
209,top_model_weights_no_3d,dog,0.855
210,top_model_weights_no_3d,dog,0.845
211,top_model_weights_no_3d,dog,0.875
212,top_model_weights_no_3d,dog,0.895
213,top_model_weights_no_3d,dog,0.88
214,top_model_weights_no_3d,dog,0.87
215,top_model_weights_no_3d,dog,0.905
216,top_model_weights_no_3d,dog,0.89
217,top_model_weights_no_3d,dog,0.835
218,top_model_weights_no_3d,dog,0.87
219,top_model_weights_no_3d,dog,0.86
220,top_model_weights_no_3d,dog,0.89
221,top_model_weights_no_3d,dog,0.87
222,top_model_weights_no_3d,dog,0.83
223,top_model_weights_no_3d,dog,0.835
224,top_model_weights_no_3d,dog,0.845
225,top_model_weights_no_3d,dog,0.89
